subject_id,subject_name,theory,practice,credit
30000-1202,การเขียนและการนำเสนอโครงงานภาษาอังกฤษ,0,2,1
30000-1501,สังคมไทยในยุคดิจิทัล,1,2,2
30001-1001,การเป็นผู้ประกอบการ,2,2,3
31901-2002,ระบบปฏิบัติการเครื่องแม่ข่าย,1,4,3
31901-2006,การพัฒนาซอฟต์แวร์เชิงวัตถุ,1,4,3
31901-2009,การพัฒนาไฮบริดแอปพลิเคชัน,1,4,3
31901-2010,การพัฒนาอุปกรณ์เคลื่อนที่,1,4,3
31901-2013,การประยุกต์ใช้ระบบไอโอทีในชีวิตประจำวัน,1,4,3
31901-2017,โครงงานด้านเทคโนโลยีสารสนเทศ 2,0,6,2
30000-2004,กิจกรรมองค์การวิชาชีพ,0,2,0

30000-1201,ภาษอังกฤษสำหรับงานอาชีพ,1,2,2
30000-1404,แคลคูลัส 1,3,0,3
30001-1002,องค์การและการบริหารงานคุณภาพ,3,0,3
30001-1003,การประยุกต์ใช้เทคโนโลยีดิจิทัลในอาชีพ,2,2,3
31901-2005,การพัฒนาซอฟต์แวร์ด้วยเทคโนโลยี Back-end,1,4,3
31901-2007,เทคโนโลยีการจัดการฐานข้อมูล,1,4,3
31901-2012,การวิเคราะห์และการนำเสนอข้อมูล,1,4,3
30000-2002,กิจกรรมองค์การวิชาชีพ 1,0,2,0

30000-1201,ภาษอังกฤษสำหรับงานอาชีพ,1,2,2
30000-1404,แคลคูลัส 1,3,0,3
30001-1002,องค์การและการบริหารงานคุณภาพ,3,0,3
30001-1003,การประยุกต์ใช้เทคโนโลยีดิจิทัลในอาชีพ,2,2,3
31901-2005,การพัฒนาซอฟต์แวร์ด้วยเทคโนโลยี Back-end,1,4,3
31901-2007,เทคโนโลยีการจัดการฐานข้อมูล,1,4,3
31901-2012,การวิเคราะห์และการนำเสนอข้อมูล,1,4,3
30000-2002,กิจกรรมองค์การวิชาชีพ 1,0,2,0

30000-1201,ภาษอังกฤษสำหรับงานอาชีพ,1,2,2
30000-1404,แคลคูลัส 1,3,0,3
30001-1002,องค์การและการบริหารงานคุณภาพ,3,0,3
31900-0001,การสร้างเว็บไซต์,1,4,3
31900-0004,ระบบเครือข่ายคอมพิวเตอร์,1,4,3
31900-1001,กฎหมายในงานอาชีพอุตสาหกรรมดิจืทัล,1,0,1
31900-1002,การจัดการข้อมูลขนาดใหญ่เบื้องต้น,1,2,2
31901-2005,การพัฒนาซอฟต์แวร์ด้วยเทคโนโลยี Back-end,1,4,3
31901-2012,การวิเคราะห์และการนำเสนอข้อมูล,1,4,3
30000-2002,กิจกรรมองค์การวิชาชีพ 1,0,2,0
