group_id,timeslot_id,subject_id,teacher_id,room_id
G1,1,31901-2017,T07,R5201
G1,2,31901-2002,T01,R5204
G1,3,31901-2002,T01,R6203
G1,6,31901-2002,T01,R5204
G1,7,31901-2013,T08,R5306
G1,8,31901-2017,T07,R5204
G1,9,31901-2009,T05,R6201
G1,10,31901-2006,T03,R6403
G1,13,31901-2010,T04,R6404
G1,14,30000-1501,T02,R6204
G1,15,31901-2006,T03,R5402
G1,16,30001-1001,T09,R5203
G1,18,31901-2006,T03,R6203
G1,20,31901-2009,T05,R5203
G1,21,30001-1001,T09,R5306
G1,22,31901-2017,T07,R6203
G1,25,31901-2009,T04,R6203
G1,26,31901-2006,T03,R6405
G1,27,30001-1001,T09,R6301
G1,28,30000-1202,T06,R10401
G1,31,30001-1001,T09,R5105
G1,32,31901-2010,T04,R6204
G1,33,31901-2017,T07,R6303
G1,34,31901-2010,T04,R5201
G1,37,31901-2009,T04,R6203
G1,38,31901-2013,T08,R6203
G1,39,31901-2013,T08,R5201
G1,40,31901-2002,T01,R5201
G1,42,31901-2010,T04,R6301
G1,43,30000-1501,T02,R6201
G1,44,31901-2017,T07,R6301
G1,45,31901-2009,T05,R6404
G1,46,30000-1202,T06,R10401
G1,49,31901-2010,T04,R6204
G1,50,31901-2013,T08,R5201
G1,51,31901-2006,T03,R6204
G1,52,30000-2004,T08,R6301
G1,54,30000-2004,T07,R5201
G1,55,30000-1501,T02,R6201
G1,56,31901-2013,T08,R5204
G1,57,31901-2002,T01,R6201
G1,58,31901-2017,T07,R10401
G2,1,31901-2006,T03,R5306
G2,2,31901-2013,T08,R6402
G2,3,31901-2013,T08,R6402
G2,4,30001-1001,T09,R6303
G2,6,31901-2013,T08,R6204
G2,8,31901-2013,T08,R6404
G2,9,31901-2002,T01,R6404
G2,10,31901-2002,T01,R6204
G2,13,30000-1501,T02,R6403
G2,14,30000-1202,T06,R5201
G2,15,31901-2017,T07,R5203
G2,16,30000-2004,T07,R6303
G2,18,31901-2009,T04,R10401
G2,19,30000-2004,T07,R6404
G2,25,30000-1202,T06,R6301
G2,26,31901-2017,T07,R5204
G2,27,31901-2009,T04,R6204
G2,28,30001-1001,T09,R5306
G2,30,31901-2002,T01,R5201
G2,31,31901-2002,T01,R6404
G2,32,31901-2002,T01,R5402
G2,34,31901-2006,T03,R5306
G2,37,31901-2006,T03,R6205
G2,38,31901-2017,T07,R6301
G2,40,31901-2017,T07,R6404
G2,42,31901-2017,T07,R5203
G2,43,30001-1001,T09,R6402
G2,44,31901-2006,T03,R5201
G2,45,31901-2013,T08,R5402
G2,46,30000-1501,T02,R5105
G2,50,31901-2017,T07,R5105
G2,51,31901-2009,T05,R5402
G2,52,31901-2006,T03,R5105
G2,54,31901-2009,T04,R5204
G2,55,31901-2009,T04,R5203
G2,56,30000-1501,T02,R5105
G2,58,30001-1001,T09,R5201
G3,1,30000-1404,T11,R6203
G3,3,30001-1003,T07,R5105
G3,6,31901-2012,T04,R6205
G3,7,31901-2012,T07,R5402
G3,8,30000-1404,T11,R5203
G3,9,30000-1404,T11,R6204
G3,10,30001-1003,T07,R6301
G3,13,30001-1003,T07,R6301
G3,14,31901-2005,T03,R6403
G3,15,31901-2007,T01,R6301
G3,18,30000-2002,T13,R6204
G3,20,31901-2005,T08,R6404
G3,25,30000-1201,T10,R6405
G3,26,30001-1002,T12,R6404
G3,28,31901-2007,T01,R6301
G3,32,30000-1201,T10,R5105
G3,33,31901-2007,T01,R5201
G3,37,31901-2007,T01,R5203
G3,38,30000-2002,T01,R6402
G3,39,30001-1003,T07,R6403
G3,43,31901-2005,T03,R5105
G3,44,31901-2012,T04,R6404
G3,45,30001-1002,T12,R6403
G3,49,31901-2005,T08,R5201
G3,50,31901-2012,T04,R6405
G3,51,30000-1201,T10,R6301
G3,54,31901-2007,T01,R6205
G3,55,31901-2005,T03,R5204
G3,57,31901-2012,T07,R5306
G3,58,30001-1002,T12,R5105
G4,1,31901-2007,T01,R6205
G4,3,30001-1002,T12,R6404
G4,4,31901-2007,T01,R6301
G4,7,30000-1404,T11,R6204
G4,8,31901-2007,T01,R6205
G4,10,30000-1404,T11,R6205
G4,13,31901-2005,T03,R10401
G4,15,31901-2005,T08,R6204
G4,16,31901-2012,T04,R6403
G4,18,30001-1003,T07,R5306
G4,19,31901-2005,T08,R5203
G4,20,30000-1201,T10,R6204
G4,21,30001-1003,T07,R6204
G4,25,30000-1404,T11,R5306
G4,26,31901-2007,T01,R6303
G4,28,31901-2012,T07,R5402
G4,30,31901-2012,T07,R6403
G4,31,31901-2012,T07,R6205
G4,32,31901-2012,T07,R6403
G4,37,31901-2005,T08,R6301
G4,38,30001-1002,T12,R6204
G4,39,31901-2007,T01,R6205
G4,43,30001-1002,T12,R6204
G4,44,30000-1201,T10,R6403
G4,46,30000-2002,T04,R6203
G4,49,31901-2005,T03,R6203
G4,50,30000-1201,T10,R6204
G4,51,30001-1003,T07,R5204
G4,52,30001-1003,T07,R5306
G4,57,30000-2002,T04,R10401
G5,1,30000-1201,T10,R6402
G5,2,31900-1001,T07,R5306
G5,3,31900-1002,T04,R6403
G5,4,31900-1002,T04,R6403
G5,6,31901-2012,T07,R5306
G5,7,31900-0004,T01,R10401
G5,9,31900-0001,T07,R6303
G5,13,30000-2002,T13,R5306
G5,14,30000-1404,T11,R6201
G5,15,31901-2012,T04,R5306
G5,18,30001-1002,T12,R5204
G5,20,31901-2005,T03,R6205
G5,21,30000-1201,T10,R5402
G5,22,30000-1201,T10,R6405
G5,25,31900-0001,T07,R5105
G5,27,31900-0001,T07,R5306
G5,28,31901-2012,T04,R6203
G5,31,31900-1002,T04,R5402
G5,32,31901-2005,T08,R6201
G5,33,31901-2005,T08,R6301
G5,34,30001-1002,T12,R6303
G5,37,30000-2002,T13,R6204
G5,38,31901-2012,T04,R6303
G5,39,30001-1002,T12,R5306
G5,42,31900-0004,T01,R6204
G5,43,31900-0001,T07,R6303
G5,44,31900-0004,T01,R6201
G5,45,31901-2012,T04,R6303
G5,49,31900-0001,T07,R5105
G5,51,30000-1404,T11,R5203
G5,52,30000-1404,T11,R5201
G5,54,31901-2005,T03,R6402
G5,55,31900-0004,T01,R10401
G5,56,31900-0004,T01,R10401
G5,57,31901-2005,T03,R5201
